digit_1_image,digit_2_image,label
1788,441,False
3705,3955,False
9062,1653,True
7035,9539,True
1561,455,False
8392,3759,True
9067,3319,True
3556,7481,True
93,2669,False
4650,5465,True
5636,3467,True
6342,1494,True
5760,5755,True
7660,683,False
6081,1324,False
6037,9984,False
774,1103,True
1341,4645,True
1631,6343,False
6097,7311,True
5938,5947,False
1203,4284,True
4082,8636,True
7459,6334,False
8998,3657,False
3804,893,True
5052,6695,True
1058,3518,False
3426,8295,False
7399,2384,False
2259,4121,False
9438,7133,False
3650,5808,True
8200,8231,False
1841,749,True
7038,2573,False
6184,6362,True
4203,8543,False
1835,8921,False
5461,1870,False
7000,2650,True
4414,45,True
8201,1775,False
3322,8201,True
2709,6008,False
9659,5427,False
288,1877,True
3986,4919,True
9433,3890,False
8083,1367,False
2107,8604,False
9131,7654,True
4256,8770,True
8960,3418,True
4989,6649,False
7059,8595,False
4137,1935,False
5664,1021,True
9203,9501,False
3665,9503,False
993,1126,True
1075,544,True
8547,1122,False
8073,4469,False
8710,2197,False
3922,7873,False
1569,3040,True
6944,5927,False
7770,6622,False
1596,1018,False
1827,5447,True
3060,3198,False
7035,2268,False
7705,4469,False
7376,1194,True
8985,807,False
3934,1500,False
6540,8077,False
6693,3451,True
6327,2637,True
6272,4445,False
4577,7050,True
2510,3194,True
986,3501,True
968,5020,True
7930,9432,True
8441,909,True
1161,2968,True
6737,3798,True
4114,9204,True
9998,1377,True
9428,9394,True
4191,3401,False
3857,4448,False
2095,5033,False
1224,5064,True
9358,7395,True
8934,1164,False
4445,8170,True
1163,5602,True
4789,5937,False
7061,9033,False
8793,9869,True
5024,8962,True
4432,2166,True
9193,1729,False
4731,4355,False
5506,3389,True
8162,8121,True
809,1541,True
743,4433,True
5346,2176,False
2589,7358,False
177,9061,False
2470,1193,False
9694,5925,False
2127,6917,True
6094,4930,False
3509,5745,False
1659,5920,True
3939,2505,True
6867,2841,True
2878,5557,True
4465,4000,True
6384,1742,True
3696,7590,True
7426,5844,False
3703,3670,True
3092,6641,True
4471,1177,False
5632,8468,False
5536,8663,True
4385,1845,True
4447,9380,True
1746,9928,True
5550,5257,False
8500,9784,True
9595,6190,True
4097,748,True
8634,23,True
7179,5852,False
5260,5293,False
4800,8425,False
6572,5455,True
9209,4730,True
3070,7011,True
2792,9457,False
9103,6535,False
4819,4861,True
6918,9648,False
7498,7358,True
3449,8498,False
2720,1415,False
5607,8328,False
5199,3795,False
2451,3175,False
733,4082,False
9860,1227,False
9572,6673,False
6170,8216,True
2454,3936,True
7083,1721,True
2822,8610,True
9263,797,False
7601,1941,True
7493,8826,True
7136,8384,False
7420,8854,True
7648,7492,False
3990,4639,True
3861,4601,False
4801,1235,True
4337,5619,True
1353,8720,False
2434,3839,True
3559,2474,False
6678,6797,True
8766,7755,True
992,3442,False
9718,6254,False
9295,6347,True
86,5883,False
6989,6263,True
7874,3653,False
8077,7021,True
6243,5626,False
7774,2646,False
8636,467,True
9379,9558,True
7137,1340,True
3052,7451,True
4182,6328,False
3414,7566,False
5412,6328,False
4211,6789,False
346,7583,True
3722,5616,False
541,640,False
366,3183,False
3856,2112,False
9373,1834,False
7498,4289,False
1921,2690,False
1813,4977,False
4991,9574,True
3313,6381,False
4048,9560,True
9985,4823,True
9151,704,False
8606,7133,False
1096,8405,True
189,7004,True
1704,7210,True
7418,2542,True
2825,8669,True
9941,8942,True
7496,7251,False
4098,5168,True
7505,4474,True
7493,9473,False
5389,503,False
5210,3057,False
3420,5931,True
5466,4695,False
184,8980,False
1367,4023,False
9223,7881,True
7673,8157,True
254,1552,False
6750,3580,True
4901,9681,False
7630,9197,True
6858,9138,False
5640,7550,False
4203,4904,False
1931,3232,False
8901,1911,False
3060,3602,False
4430,9809,False
1627,3251,False
6027,3669,False
258,4837,True
765,4391,True
4905,8940,True
1706,7920,False
9275,4779,True
7717,7337,False
2951,871,False
1915,7698,True
8176,6447,False
902,9315,True
2408,9354,True
4141,1360,False
6937,9015,True
8439,6347,True
7138,4987,True
9453,4884,True
1651,9838,False
4434,3404,True
3989,2539,True
1263,8918,True
37,6810,True
9584,7818,False
502,3844,False
7553,4538,False
4434,3769,False
1927,6855,True
4449,2406,True
1002,1129,False
4919,9904,False
7077,2087,False
4865,6713,False
8078,8968,True
1349,7055,True
6960,5396,False
1529,389,True
9766,9291,False
9585,4311,True
2813,7833,True
4461,3048,False
7936,1526,False
5583,6808,False
1740,5148,False
5287,6854,False
6685,4623,True
7329,1461,True
5413,4061,False
8554,6506,False
8762,7696,False
856,3159,True
7361,8045,False
4468,3268,False
4616,7295,False
508,1941,True
5202,2554,True
6802,8924,False
3630,1905,True
1881,2571,False
4676,8458,False
6683,8027,True
7604,3929,True
3205,6165,False
1105,4626,False
5457,8440,True
37,4748,True
9481,9647,False
2399,7429,False
5542,5559,True
5392,7344,False
3858,9506,True
6843,3776,True
5094,7873,False
6204,2527,False
579,2112,False
7332,1624,True
7609,8493,False
6834,2316,False
1186,7815,False
6626,5431,False
5268,8866,False
8112,5072,False
1160,9968,True
3780,4605,False
1636,6986,True
7150,2782,True
442,775,False
894,4926,True
7168,6026,True
3943,8826,True
3031,9151,True
2812,1325,False
8266,3889,True
