digit_1_image,digit_2_image,label
1705,49457,True
15718,14353,False
49111,6817,True
39467,28294,False
2002,6243,False
15591,33871,False
37549,13281,True
14181,28812,True
52127,56032,False
50618,53737,True
46680,28336,True
17771,10046,True
50938,22585,True
6179,25461,False
24047,56502,True
38775,16938,False
48684,30748,False
25366,5226,True
53435,40436,False
37055,12383,False
3040,44199,False
51579,19444,False
57030,15600,False
25475,18644,True
40880,53740,True
10506,23752,True
13478,43094,True
45093,43950,True
40689,42409,False
35769,48646,False
10869,30925,False
17286,59630,True
45769,21772,True
15344,54802,True
53677,21189,True
17143,4290,False
37964,58432,True
13670,42164,True
25370,57004,False
9240,16959,True
16542,49707,False
48064,37540,False
57855,37455,False
23219,14099,True
34136,33065,False
50433,3115,True
10168,41899,True
52834,45486,False
38303,4121,True
24464,38276,False
33936,16125,True
45475,48128,False
45569,59000,False
49506,41233,False
7189,18790,False
10211,29108,True
48211,58396,False
32114,49081,False
34020,7095,False
54223,41094,True
10168,25073,True
36120,51931,False
40034,21764,False
1233,7209,False
56622,53586,False
15357,3768,False
58543,37973,False
5692,48820,True
52553,4480,False
8567,44091,False
35272,10666,False
33837,56224,True
13628,59854,False
47608,20936,False
43196,41812,False
28064,57978,False
7795,15900,False
4243,22670,False
39332,37091,False
39339,14712,False
4705,47293,False
15334,4469,False
57321,22175,True
34447,15943,False
43024,31174,False
36107,8832,True
15578,50522,True
52014,26096,False
6281,6469,False
22708,27139,True
29977,55702,True
45021,43655,True
4006,27001,False
51557,55543,False
16679,12790,True
35916,30033,False
28293,12235,True
29708,16014,False
29657,53883,True
3350,43581,True
6215,50275,True
11048,27252,False
30917,13736,False
58159,3804,False
25393,146,True
16981,59703,False
18251,27103,False
10003,12233,False
14000,3798,True
49916,21057,True
3325,39075,False
32256,59234,False
3759,34028,False
56762,12398,True
39763,4509,False
27085,7990,False
38717,39730,False
41363,5419,False
42282,37464,False
16700,13145,False
15308,17006,True
8436,43196,False
29329,20227,True
656,30678,False
4848,35992,False
33897,17836,False
23380,58738,False
58623,16382,True
18234,10183,True
53716,34844,True
39310,51988,False
44632,54466,False
42651,6675,False
17773,7703,False
49518,37039,True
18294,18913,False
47924,22991,True
45964,42362,False
32409,31370,False
58339,58519,True
6144,42365,True
53433,17698,True
241,22375,False
42568,17600,False
49434,29584,True
36003,600,True
5002,58883,True
36549,2397,True
37378,35444,True
28799,8493,False
20709,24441,False
59926,23974,False
45590,16746,True
23679,52033,True
39909,48228,True
15854,57641,True
53339,54067,True
58777,27638,False
11957,49124,False
50374,59984,False
51667,43080,False
17934,10587,False
25626,58137,True
57237,31497,False
13340,54432,False
22399,19526,False
14902,1605,False
26720,22027,False
55728,4492,False
22493,41266,False
43705,54369,True
1746,7422,False
11516,37250,False
2471,6986,False
22135,46828,True
27960,38943,True
25804,59967,True
17089,2951,True
104,33348,True
24418,28890,True
44372,22152,False
42651,54640,False
48062,20161,False
42886,26182,False
25809,44824,True
35557,8194,False
28190,44427,True
43544,48132,False
41118,38080,False
26041,35149,False
20419,19272,False
28802,52421,False
29857,28314,False
43442,13732,False
51106,58084,False
44030,5629,True
33054,42681,False
6032,52714,True
44977,20846,False
53785,13303,True
1662,3066,True
31802,40843,False
30484,27796,True
47976,46571,False
31739,25634,True
9819,43835,True
59522,50105,False
51921,28498,True
11729,53631,True
3263,35765,False
56556,8089,False
8585,51605,False
42928,34066,True
48634,57440,False
39381,52481,True
53514,58431,False
57817,10285,False
28865,16609,True
55979,42608,False
49334,50068,False
40302,15345,False
28191,5006,False
15068,17387,True
20445,57540,False
9196,10025,False
25661,46411,False
47201,14295,False
27822,27331,True
34807,29916,False
4042,13300,False
24960,58311,False
57116,58724,False
30622,366,False
19106,48512,False
55000,57454,False
34525,48094,True
32726,14660,True
27926,31186,False
26065,22557,True
46520,10662,False
59243,8218,False
26418,39563,False
5574,42945,False
8735,55875,False
11705,3265,True
24314,20943,True
30435,21933,False
49035,56688,False
17790,48397,True
16177,53792,False
31474,1327,False
23441,14996,False
52114,43556,False
50314,2072,False
13318,55940,True
41481,10128,False
8407,31681,False
37739,14564,False
44964,16418,False
10831,38920,True
51877,54628,False
20895,7206,True
20950,38498,False
25440,45946,False
5047,39577,True
6796,46622,False
54776,43998,True
53093,37880,False
23269,35684,True
42544,23779,False
33901,43266,False
803,54732,False
52974,31473,True
29026,24268,False
45466,9884,False
11359,47184,True
39593,52057,False
29850,27908,True
20619,54886,False
55357,5759,False
56807,28921,False
50076,31096,False
21531,1831,False
54839,20800,False
32667,14170,False
51376,16553,True
17879,56729,True
35647,626,False
5690,16168,True
31374,35609,False
46189,31880,True
28738,51054,True
6203,19762,False
27121,46270,False
20560,44355,False
30385,35511,False
27262,47983,True
22530,45174,True
17341,19623,False
14829,7770,False
21194,7969,False
12786,14453,True
17685,46548,True
6472,53635,True
19891,15237,False
11557,19337,False
47300,35769,False
18423,3026,True
37047,19612,False
42617,57898,False
6600,56241,False
38392,19095,True
30731,28224,True
11884,3331,False
55544,30670,False
54817,4344,False
31573,4808,False
10084,9925,True
5520,15920,False
37367,51008,True
38950,38283,False
51729,35018,True
28900,58539,True
19022,55450,False
19536,36482,True
40721,49353,True
50886,13881,False
17786,44132,True
10452,16066,True
36948,4986,True
186,27386,True
44329,38141,False
18663,2099,True
19357,47238,False
45179,55417,False
4602,44187,True
17779,52557,True
28497,7649,False
43271,9918,False
53258,9191,True
3945,11028,True
38225,48186,True
28138,8018,False
44280,19448,True
17421,32100,True
28048,5210,False
59302,28937,False
38775,16061,False
6080,15334,True
51026,44937,False
36992,2609,True
31484,34767,True
59021,17785,False
39149,29190,False
5892,30177,False
26177,21329,False
43090,6740,True
22133,27596,True
18446,42604,False
52386,48985,True
30443,5849,True
16189,20687,False
51530,27108,False
43947,57954,True
26484,3515,True
34735,24240,True
40210,28330,True
13595,17950,True
19351,29345,False
7821,1838,False
47418,10534,False
35345,874,True
6018,14451,False
30870,7830,False
33392,47847,True
32643,45336,False
26617,53780,False
30306,15643,True
35367,9340,True
12284,59391,False
57606,4634,True
49749,50874,True
21751,50732,True
52854,167,True
46655,19102,False
55784,9592,True
34552,31098,False
21267,35397,False
29225,20587,False
46633,16001,False
15001,55173,False
2814,20354,False
45327,58852,True
24738,42670,True
33180,2459,True
33669,39443,True
56051,6458,False
6418,33733,False
969,46416,False
27477,58046,True
4959,31422,False
21672,40061,False
41808,5206,True
54931,43361,True
20260,40305,False
56221,34695,True
41242,4537,True
42155,45755,False
14623,48045,False
29056,6567,True
29691,11060,False
58221,1846,False
21777,53090,True
19698,24016,False
27605,9397,False
35584,27620,False
11322,11678,False
40709,58041,True
39842,43919,False
33341,39004,False
15564,30855,True
29483,16367,False
59926,53656,False
58085,18407,False
4886,29577,False
37728,19146,True
44392,16035,True
54478,19327,False
25770,56901,False
6870,15216,True
36697,23003,False
44947,18894,False
55314,43981,False
17558,504,False
40515,49718,False
53661,58264,False
49938,51452,True
40556,53473,False
14080,40938,True
41455,16817,False
41963,6482,False
20742,52609,False
2140,37182,False
47081,8468,True
19811,21925,True
11328,12914,True
52470,36121,True
34044,32192,False
53505,10627,False
58891,53137,True
51947,18883,True
51802,7415,False
4891,9096,True
57354,45214,False
54504,51827,False
5838,50918,False
887,16934,False
30440,24715,False
37538,24421,False
6984,43392,True
31543,1706,True
58968,39195,False
43272,4187,False
58596,45052,False
41769,26175,False
9287,3016,False
20455,33011,False
6483,15715,False
26043,30355,False
43120,47821,False
37711,47758,False
59040,27822,False
55561,32791,False
17885,2107,True
13974,28416,True
15154,55127,False
6399,44081,True
34922,58117,True
3933,25532,True
12229,7869,True
5923,42619,True
42872,42726,False
3350,52495,False
15631,8119,False
4546,55300,False
39210,14425,False
22046,51658,True
52611,39827,True
18608,57224,False
8681,36176,True
51428,11254,True
44184,57756,True
8793,1009,True
50874,50778,False
